url,prompt,output
www.rocsys.com/,Full Description,"ROCSYS develops solutions to fully automate professional charging sites. With its smart solutions, EV infrastructure operators can increase their asset utilization. This allows fleet operators to run business critical operations with EVs and additionally prepare for the self-parking and self-driving era. ROCSYS’ solutions are based on proprietary patented soft-robotics technologies, complemented with a suite of remote management and support tools, and an API integration platform, enabling a complete solution to serve growing industry needs."
www.rocsys.com/,Industry Groups,"Energy, Transportation"
www.rocsys.com/,Founders,"Crijn Bouman, Joost van der Weijde, Kanter Van Deurzen"
www.rocsys.com/,Twitter,https://twitter.com/itsmeatable
www.rocsys.com/,Facebook,https://www.facebook.com/kitepower.bv/
www.rocsys.com/,LinkedIn,https://in.linkedin.com/company/rocsys-charging-automation
www.physee.eu/,Organization Name,PHYSEE Technologies
www.physee.eu/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.physee.eu/,Industries,"Architecture, CleanTech, Energy, Renewable Energy, Smart Building"
www.physee.eu/,Description,PowerWindow is an energy-producing light-tinted window that generates electricity by combining three existing technologies.
www.physee.eu/,DB Rank,"28,253"
www.physee.eu/,Website,www.physee.eu/
www.physee.eu/,Estimated Revenue,$10M to $50M
www.physee.eu/,Operating Status,Active
www.physee.eu/,Contact Email,info@physee.eu
www.physee.eu/,Actively Hiring,info@physee.eu
www.physee.eu/,Full Description,"PHYSEE was founded by two applied physicists, who, during their graduation, found a way to generate electricity with transparent glass. We still use this creative, physical angle when looking at the buildings around us, to see how we can optimize these buildings using smart and sustainable innovations. Our goal is to make the built environment energy neutral by tapping into the so far missed potential of building facades without compromising on it's design."
www.physee.eu/,Industry Groups,"Energy, Real Estate, Sustainability"
www.physee.eu/,Founders,"Ferdinand Grapperhaus, Willem Kesteloo"
www.physee.eu/,Twitter,https://twitter.com/_Kitepower
www.physee.eu/,Facebook,https://www.facebook.com/pg/IMSystems-247903749485388/
www.physee.eu/,LinkedIn,https://www.linkedin.com/company/powerwindow/
www.nurtio.com,Organization Name,Nurtio Technologies
www.nurtio.com,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.nurtio.com,Industries,"Facilities Support Services, Facility Management, Home and Garden, Internet of Things, Smart Building, Smart Home"
www.nurtio.com,Description,"SaaS, IoT, connected gardening, connected facility management systems"
www.nurtio.com,DB Rank,"30,845"
www.nurtio.com,Founded Date,"Apr 29, 2018"
www.nurtio.com,Website,www.nurtio.com
www.nurtio.com,Operating Status,Active
www.nurtio.com,Contact Email,info@nurtio.com
www.nurtio.com,Actively Hiring,info@nurtio.com
www.nurtio.com,Full Description,Nurtio is the world's first connected gardening product for commercial real estate. It removes all the guesswork from the indoor plant maintenance and dramatically optimizes the operational costs for all the stakeholders.
www.nurtio.com,Industry Groups,"Administrative Services, Consumer Electronics, Internet Services, Real Estate"
www.nurtio.com,Founders,"Iryna Pakhomova, Marco Zijlstra, Yuri Kriachko"
www.nurtio.com,Twitter,https://twitter.com/imsystemsnl
www.nurtio.com,Facebook,https://www.facebook.com/DeNoize-106601220187613/
www.nurtio.com,LinkedIn,https://www.linkedin.com/company/18215836/
qblox.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
qblox.com/,Industries,"Information Technology, Quantum Computing, Software"
qblox.com/,Description,Qblox is a Dutch Quantum technology scaleup that offers patented solutions for scalable control of quantum computers.
qblox.com/,DB Rank,"35,662"
qblox.com/,Founded Date,"Jan 1, 2019"
qblox.com/,Website,qblox.com/
qblox.com/,Operating Status,Active
qblox.com/,Contact Email,hello@qblox.com
qblox.com/,Actively Hiring,hello@qblox.com
qblox.com/,Full Description,"Qblox is a Dutch Quantum technology scaleup that offers patented solutions for scalable control of quantum computers. Qblox builds control hardware for quantum computers. Quantum computers will revolutionize the way it's computed by embedding the laws of quantum mechanics in their fundamental building blocks (qubits). To get from the current proof-of-principle prototype quantum computers to earth-shattering computation power, many scientific and engineering challenges have to be solved. Our company has the mission to build the control hardware stacks that can manage the upcoming generations of quantum processors."
qblox.com/,Industry Groups,"Information Technology, Science and Engineering, Software"
qblox.com/,Founders,"Jules van Oven, Niels Bultink"
qblox.com/,Twitter,https://twitter.com/DeNoize4
qblox.com/,Facebook,https://www.facebook.com/getroadmaptravel
qblox.com/,LinkedIn,https://www.linkedin.com/company/qblox/
www.quantware.eu/,Organization Name,QuantWare
www.quantware.eu/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.quantware.eu/,Industries,"Hardware, Quantum Computing"
www.quantware.eu/,Description,"QuantWare designs, develops and fabricates superconducting quantum hardware to accelerate the advent of the quantum computer."
www.quantware.eu/,DB Rank,"36,312"
www.quantware.eu/,Founded Date,Nov 2020
www.quantware.eu/,Website,www.quantware.eu/
www.quantware.eu/,Estimated Revenue,$1M to $10M
www.quantware.eu/,Operating Status,Active
www.quantware.eu/,Full Description,"QuantWare designs, develops and fabricates superconducting quantum hardware to accelerate the advent of the quantum computer"
www.quantware.eu/,Industry Groups,"Hardware, Science and Engineering"
www.quantware.eu/,Founders,"Alessandro Bruno, Matthijs Rijlaarsdam"
www.quantware.eu/,Twitter,https://www.twitter.com/roadmaptravel
www.quantware.eu/,Facebook,https://www.facebook.com/birdcontrolgroup
www.quantware.eu/,LinkedIn,https://www.linkedin.com/company/quantware/about/
www.innatera.com/,Organization Name,Innatera
www.innatera.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.innatera.com/,Description,Innatera is a developer of ultra-low-power intelligence for sensors.
www.innatera.com/,DB Rank,"36,606"
www.innatera.com/,Website,www.innatera.com/
www.innatera.com/,Operating Status,Active
www.innatera.com/,Full Description,Innatera is an ultra-efficient neuromorphic processor that mimics the brain's sensory data processing mechanism. They are based on a proprietary analog-mixed signal computing architecture and leverage the computing capabilities of spiking neural networks to deliver ground-breaking cognition performance within a narrow power envelope. These devices enable always-on pattern recognition capabilities in sensor-edge applications.
www.innatera.com/,Founders,"Sumeet Kumar, UmaMahesh Saraswatula"
www.innatera.com/,Twitter,https://twitter.com/GOBIOND
www.innatera.com/,Facebook,https://www.facebook.com/TechnologyCatalogue
www.innatera.com/,LinkedIn,https://www.linkedin.com/company/innatera
tilercharge.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
tilercharge.com/,Industries,"Autonomous Vehicles, Electric Vehicle, Electronics, Manufacturing, Wireless"
tilercharge.com/,Description,"Tiler manufactures a wireless charger for e-cargo bikes, e-scooters, e-mopeds, and autonomous cargo vehicles."
tilercharge.com/,DB Rank,"41,904"
tilercharge.com/,Founded Date,"Apr 1, 2019"
tilercharge.com/,Website,tilercharge.com/
tilercharge.com/,Operating Status,Active
tilercharge.com/,Phone Number,31-622003409
tilercharge.com/,Contact Email,hello@tilercharge.com
tilercharge.com/,Actively Hiring,hello@tilercharge.com
tilercharge.com/,Full Description,"TILER is the wireless light electric charging solution both sustainable and user-friendly. We believe a sustainable growth of light electric vehicles is paired with an impeccable infrastructure. The first charging Tile that charges your eBike or any other light electric vehicle via the kickstand. It was founded in 2019 and is based in Delft, South Holland, Netherlands."
tilercharge.com/,Industry Groups,"Consumer Electronics, Hardware, Manufacturing, Mobile, Transportation"
tilercharge.com/,Founders,"Christiaan van Nispen, Olivier Coops"
tilercharge.com/,Twitter,http://twitter.com/BirdControlG
tilercharge.com/,Facebook,https://www.facebook.com/SenseGlove/
tilercharge.com/,LinkedIn,https://www.linkedin.com/company/fesla-charge/
www.meatable.com/,Organization Name,Meatable
www.meatable.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.meatable.com/,Industries,"Food and Beverage, Food Processing, Innovation Management"
www.meatable.com/,Description,Meatable is a Dutch food production company that produces real and guilt-free meat.
www.meatable.com/,DB Rank,"43,768"
www.meatable.com/,Website,www.meatable.com/
www.meatable.com/,Estimated Revenue,$1M to $10M
www.meatable.com/,Operating Status,Active
www.meatable.com/,Phone Number,+31 (0)85 0801313
www.meatable.com/,Contact Email,information@meatable.com
www.meatable.com/,Actively Hiring,information@meatable.com
www.meatable.com/,Full Description,"Meatable is a food production company that produces real and guilt-free meat. With one cell, they are revolutionizing the meat industry's impact on climate change and animal welfare. At the same time they increase food security, without compromising the culinary experience of eating tasty, real meat. They aim to satisfy the world's appetite for meat without harming people, animals, and the planet. It was founded in 2018 and is headquartered in Delft, South Holland, The Netherlands."
www.meatable.com/,Industry Groups,"Food and Beverage, Professional Services"
www.meatable.com/,Founders,"Daan Luining, Krijn De Nood, Mark Kotter"
www.meatable.com/,Twitter,https://twitter.com/DelftAB
www.meatable.com/,Facebook,https://www.facebook.com/CEADdesigngroup/
www.meatable.com/,LinkedIn,https://www.linkedin.com/company/itsmeatable/
www.kitepower.nl,Organization Name,Kitepower
www.kitepower.nl,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.kitepower.nl,Industries,"CleanTech, Energy, Renewable Energy, Software Engineering, Sustainability, Wind Energy"
www.kitepower.nl,Description,Airborne Wind Energy
www.kitepower.nl,DB Rank,"48,100"
www.kitepower.nl,Founded Date,Jan 2016
www.kitepower.nl,Website,www.kitepower.nl
www.kitepower.nl,Operating Status,Active
www.kitepower.nl,Phone Number,+31152001420
www.kitepower.nl,Contact Email,info@kitepower.nl
www.kitepower.nl,Actively Hiring,info@kitepower.nl
www.kitepower.nl,Full Description,"Kitepower is a leading start-up in airborne wind energy, developing innovative and cost-effective alternatives to existing wind turbines by using kites to generate electricity. Its patented technology is a game-changer in the wind energy sector; it uses 90% less material while being twice as efficient than existing technology. Unlike conventional wind turbines, the Kitepower system does not require resource-intensive towers or heavy foundations and is thus easy to transport and deploy. The system is able to harness stronger and more persistent winds at higher altitudes, allowing for capacity factors greater than 0.5 and in return cost-effective electricity generation, this opens up new geographical markets for the generation of wind energy. The 100kW system currently in development is ideally suited to replace diesel generator sets in remote locations to save costs and mitigate dependency on diesel supply. Kitepower was founded by Johannes Peschel and Roland Schmehl in January 2016 as a result of the work done by TU Delft’s pioneering kite power research group of the former astronaut Wubbo Ockels. Already in 2007, the first 20kW Kitepower system demonstrated the proof of concept. The 100kW system Kitepower is currently developing will be one of the first airborne wind energy systems available on the market. Kitepower is a growing team of TU Delft researchers and strong industry partners with a collective vision to reinvent wind energy."
www.kitepower.nl,Industry Groups,"Energy, Natural Resources, Science and Engineering, Software, Sustainability"
www.kitepower.nl,Founders,"Johannes Peschel, Roland Schmehl"
www.kitepower.nl,Twitter,https://twitter.com/Tech_Catalogue
www.kitepower.nl,Facebook,https://www.facebook.com/pages/Nerdalize/335942266516857
www.kitepower.nl,LinkedIn,https://www.linkedin.com/company/kitepower-bv/
www.imsystems.nl,Organization Name,IMSystems
www.imsystems.nl,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.imsystems.nl,Industries,"Hardware, Mechanical Engineering, Robotics"
www.imsystems.nl,Description,Developer of new mechanical speed reducer for industrial robots
www.imsystems.nl,DB Rank,"50,333"
www.imsystems.nl,Founded Date,Jun 2016
www.imsystems.nl,Website,www.imsystems.nl
www.imsystems.nl,Estimated Revenue,$1M to $10M
www.imsystems.nl,Operating Status,Active
www.imsystems.nl,Contact Email,info@imsystems.nl
www.imsystems.nl,Actively Hiring,info@imsystems.nl
www.imsystems.nl,Full Description,"IMSystems introduces the new standard in high-performance gearbox technology: the Archimedes Drive. We have finally been able to get rid of the gear teeth and beat the traction drive paradox. This enables us to deliver precisely the right force at precisely the right place using our patented Flexroller technology. The Archimedes Drive is available in ratios up to 10,000:1 - almost 100 times it's nearest competition. We can deliver high torque in a fraction of the volume of other speed reducer technologies, and do it with precision approaching 1 arc-second. Simply put, our drive technology is lighter, stronger, more efficient, more scalable and lower cost than any competing drive technology. Our goal is nothing less than to cause a revolution in the robotics industry."
www.imsystems.nl,Industry Groups,"Hardware, Science and Engineering, Software"
www.imsystems.nl,Founders,"Jack Schorsch, Matthew Corvers, Thibaud Verschoor"
www.imsystems.nl,Twitter,https://twitter.com/senseglove
www.imsystems.nl,Facebook,https://www.facebook.com/4foldcontainers
www.imsystems.nl,LinkedIn,https://www.linkedin.com/company/imsystems/
denoize.com/,Organization Name,DeNoize
denoize.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
denoize.com/,Industries,"Infrastructure, Smart Home"
denoize.com/,Description,DeNoize is a smart window technology that transforms any glass facade into a noise-cancelling system.
denoize.com/,DB Rank,"58,828"
denoize.com/,Website,denoize.com/
denoize.com/,Operating Status,Active
denoize.com/,Full Description,DeNoize is a smart window technology that transforms any glass facade into a noise-canceling system.
denoize.com/,Industry Groups,"Consumer Electronics, Other, Real Estate"
denoize.com/,Founders,"Aman Jindal, Olivier Schevin"
denoize.com/,Twitter,https://twitter.com/ceadgroup
denoize.com/,Facebook,https://www.facebook.com/Loopbiotech/
denoize.com/,LinkedIn,https://www.linkedin.com/company/denoize/about/
www.getroadmap.com,Organization Name,Roadmap
www.getroadmap.com,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.getroadmap.com,Industries,"Business Travel, Mobile, Travel"
www.getroadmap.com,Description,"Roadmap is a travel platform that provides an intelligent, personal and branded interface to the travel program."
www.getroadmap.com,DB Rank,"59,026"
www.getroadmap.com,Founded Date,"Apr 15, 2015"
www.getroadmap.com,Website,www.getroadmap.com
www.getroadmap.com,Estimated Revenue,$1M to $10M
www.getroadmap.com,Operating Status,Active
www.getroadmap.com,Phone Number,+31 854895845
www.getroadmap.com,Contact Email,info@getroadmap.com
www.getroadmap.com,Actively Hiring,info@getroadmap.com
www.getroadmap.com,Full Description,"Roadmap is a travel platform that provides an intelligent, personal, and branded interface to the travel program. Roadmap is a well-designed, more compliant, truly traveler-centric support system that leads to a higher value for travelers and travel managers, powered by a digital travel assistant. The solution is fully customizable and branded to the corporate"
www.getroadmap.com,Industry Groups,"Mobile, Travel and Tourism"
www.getroadmap.com,Founders,"Koen Bavinck, Markus Emmer"
www.getroadmap.com,Twitter,https://twitter.com/qphox_quantum
www.getroadmap.com,Facebook,https://www.facebook.com/Sensar-BV-1772486472790320/
www.getroadmap.com,LinkedIn,https://www.linkedin.com/company/getroadmap
www.gobiond.com/,Organization Name,BIOND Solutions
www.gobiond.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.gobiond.com/,Industries,"Biotechnology, Semiconductor"
www.gobiond.com/,Description,"Bi/ond empowers biological innovation by engineering microchips that Nourish, Stimulate and Monitor Tissues and Cells."
www.gobiond.com/,DB Rank,"60,299"
www.gobiond.com/,Website,www.gobiond.com/
www.gobiond.com/,Operating Status,Active
www.gobiond.com/,Contact Email,info@biondteam.com
www.gobiond.com/,Actively Hiring,info@biondteam.com
www.gobiond.com/,Full Description,"BI/OND empowers diversity in biological studies by engineering microchips. We are all different in unique ways, yet modern treatments ignore individuals’ genetic variations. People from different ethnicities, gender, ages are limited to take drugs based on a genetic set entirely different from their own. We invented a computer chip where biologists can put your cells. The chip nourishes, stimulates and monitors them as they were in your body. All these functionalities allow finding the medicine specifically meant for you."
www.gobiond.com/,Industry Groups,"Biotechnology, Hardware, Science and Engineering"
www.gobiond.com/,Founders,Cinzia Silvestri
www.gobiond.com/,Twitter,https://twitter.com/Nerdalize
www.gobiond.com/,Facebook,https://www.facebook.com/momomedical
www.gobiond.com/,LinkedIn,https://www.linkedin.com/company/biond/
www.birdcontrolgroup.com,Organization Name,Bird Control Group
www.birdcontrolgroup.com,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.birdcontrolgroup.com,Industries,"Aerospace, Agriculture, Aquaculture, Commercial, Farming, Oil and Gas, Real Estate, Recreation, Renewable Energy"
www.birdcontrolgroup.com,Description,Bird Control Group provides innovative products to significantly reduce pest bird presence.
www.birdcontrolgroup.com,DB Rank,"61,158"
www.birdcontrolgroup.com,Founded Date,Jan 2012
www.birdcontrolgroup.com,Website,www.birdcontrolgroup.com
www.birdcontrolgroup.com,Estimated Revenue,$1M to $10M
www.birdcontrolgroup.com,Operating Status,Active
www.birdcontrolgroup.com,Phone Number,North American office: +1 844 406 9280 European office: +31 23 230 2030
www.birdcontrolgroup.com,Contact Email,hello@birdcontrolgroup.com
www.birdcontrolgroup.com,Actively Hiring,hello@birdcontrolgroup.com
www.birdcontrolgroup.com,Full Description,"Bird Control Group offers lasting solutions to significantly reduce pest bird presence, making businesses more profitable and eliminating health and safety hazards. It prevents conflicts between birds and human activities in a sustainable, innovative and safe manner. In a world with increasing demands for food, energy, and mobility, effective and long-lasting bird control is crucial. Many conventional methods to deter birds are animal unfriendly, inefficient in the long term and a cause of nuisance for the environment. This calls for innovation. Instead of dealing with the symptoms by just scaring birds, Bird Control Group actively contributes to providing long term solutions focused on integrating commercial activities into the natural environment."
www.birdcontrolgroup.com,Industry Groups,"Agriculture and Farming, Energy, Natural Resources, Other, Real Estate, Science and Engineering, Sports, Sustainability"
www.birdcontrolgroup.com,Founders,Steinar Henskes
www.birdcontrolgroup.com,Number of Employees,51-100
www.birdcontrolgroup.com,Twitter,https://www.twitter.com/4foldcontainers
www.birdcontrolgroup.com,Facebook,https://www.facebook.com/inkless.print
www.birdcontrolgroup.com,LinkedIn,http://www.linkedin.com/company/3043251
www.dab.bio,Organization Name,Delft Advanced Biorenewables
www.dab.bio,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.dab.bio,Industries,"Biofuel, Biotechnology, Chemical, Chemical Engineering, CleanTech, Manufacturing"
www.dab.bio,Description,Delft Advanced Biorenewables is a separation and fermentation technology firm.
www.dab.bio,DB Rank,"63,635"
www.dab.bio,Founded Date,"Oct 10, 2012"
www.dab.bio,Website,www.dab.bio
www.dab.bio,Operating Status,Active
www.dab.bio,Phone Number,+31 15 2036008
www.dab.bio,Contact Email,info@dab.bio
www.dab.bio,Actively Hiring,info@dab.bio
www.dab.bio,Full Description,Delft Advanced Biorenewables is a biotechnology research center. They provide products that include biobased chemicals and fuel production. An online inquiry form is available on the company's website.
www.dab.bio,Industry Groups,"Biotechnology, Energy, Manufacturing, Natural Resources, Science and Engineering, Sustainability"
www.dab.bio,Founders,"Luuk Van Der Wielen, Sef Heijnen"
www.dab.bio,Twitter,https://twitter.com/loopbiotech
www.dab.bio,Facebook,https://www.facebook.com/turff.nl
www.dab.bio,LinkedIn,https://www.linkedin.com/company/dab-bio/about/
www.technologycatalogue.com/,Organization Name,TechnologyCatalogue.com
www.technologycatalogue.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.technologycatalogue.com/,Industries,"Energy, Renewable Energy, Smart Cities"
www.technologycatalogue.com/,Description,"Online platform that connects companies to technology suppliers and experts, and facilitates innovations towards a more sustainable future"
www.technologycatalogue.com/,DB Rank,"63,897"
www.technologycatalogue.com/,Founded Date,Mar 2018
www.technologycatalogue.com/,Website,www.technologycatalogue.com/
www.technologycatalogue.com/,Operating Status,Active
www.technologycatalogue.com/,Contact Email,info@technologycatalogue.com
www.technologycatalogue.com/,Actively Hiring,info@technologycatalogue.com
www.technologycatalogue.com/,Full Description,"Discover and deploy technological innovations to accelerate energy transition. That’s the objective of TechnologyCatalogue.com. With over 800 technologies and 100,000 unique users of the platform, TechnologyCatalogue.com supports the energy transition by providing a platform that bridges the gap between technology suppliers, end-users and experts, and facilitates technological innovations towards a more sustainable energy sector. Aside from the global platform, TechnologyCatalogue.com also provides customized services for companies and industry organizations. The company is headquartered in Delft, the Netherlands."
www.technologycatalogue.com/,Industry Groups,"Energy, Real Estate, Sustainability"
www.technologycatalogue.com/,Founders,"Erik Nijveld, Vincent van Beusekom"
www.technologycatalogue.com/,Twitter,https://twitter.com/sensar_space?lang=en
www.technologycatalogue.com/,Facebook,https://www.facebook.com/aQysta/
www.technologycatalogue.com/,LinkedIn,https://www.linkedin.com/company/technologycatalogue-com/mycompany/?viewAsMember=true
www.senseglove.com,Organization Name,SenseGlove
www.senseglove.com,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.senseglove.com,Industries,"Augmented Reality, Robotics, Virtual Reality"
www.senseglove.com,Description,SenseGlove is expert in touch for spatial computing
www.senseglove.com,DB Rank,"64,585"
www.senseglove.com,Website,www.senseglove.com
www.senseglove.com,Operating Status,Active
www.senseglove.com,Phone Number,+31 15 2002 148
www.senseglove.com,Contact Email,info@senseglove.com
www.senseglove.com,Actively Hiring,info@senseglove.com
